what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1250874206659
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1250874206659
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1250874206659
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250874206659
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250874206659
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250874206659
os,sysinfo,,,"linux",1250874206665
arch,sysinfo,,,"x86_64",1250874206665
ws,sysinfo,,,"gtk",1250874206665
locale,sysinfo,,,"pt_BR",1250874206665
processors,sysinfo,,,"2",1250874206665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250874206665
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1250874206665
java.specification.name,sysinfo,,,"Java Platform API Specification",1250874206665
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250874206665
java.specification.version,sysinfo,,,"1.6",1250874206665
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250874206665
java.version,sysinfo,,,"1.6.0_14",1250874206665
java.vm.info,sysinfo,,,"mixed mode",1250874206665
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1250874206665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250874206665
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250874206665
java.vm.specification.version,sysinfo,,,"1.0",1250874206665
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250874206665
java.vm.version,sysinfo,,,"14.0-b16",1250874206665
